no;cz;czname;state;pop;theta25;theta75;se25;se75;stayer25;stayer75
1;100;Johnson City;TN;576081;-0.416117758;0.074623242;0.272707015;0.364410698;42.26698303;56.83571625
2;200;Morristown;TN;227816;-0.043391187;-0.208657473;0.265803128;0.411986262;42.64954758;58.08820343
3;301;Middlesborough;TN;66708;0.428451866;-0.1936993;0.577737927;1.29942286;42.44334412;58.50085831
4;302;Knoxville;TN;727600;-0.054939687;-0.141834825;0.187324166;0.205629796;42.00760651;56.36183929
5;401;Winston-Salem;NC;493180;-0.442659169;-0.30753234;0.200945616;0.217589185;40.24208069;56.04382324
6;402;Martinsville;VA;92753;-0.470204264;1.053546786;0.410703003;0.923290968;41.30234146;60.44178391
7;500;Greensboro;NC;1055133;-0.346960425;-0.215975925;0.13436158;0.152184084;39.23017502;56.4004097
8;601;North Wilkesboro;NC;90016;0.236713737;-0.875870287;0.518673956;0.853228033;42.56459045;59.54133606
9;602;Galax;VA;64676;-1.085443377;-1.126120567;0.805654287;1.413537383;45.66617966;62.35136414
10;700;Spartanburg;SC;354533;-0.23348178;0.024187066;0.242791384;0.314410597;39.83392715;57.62700653
11;800;Gastonia;NC;413331;-0.401897818;-0.277219832;0.180621892;0.24182643;39.19393539;57.44169235
12;900;Charlotte;NC;1423942;-0.247814313;-0.227359444;0.095427014;0.094740905;39.01053619;56.06062698
13;1001;Boone;NC;77361;0.860114217;0.096269727;0.648701787;0.933146834;44.08109283;55.81481934
14;1002;Morganton;NC;164760;-0.385716021;0.651535869;0.369398057;0.583967268;41.95121384;58.13573074
15;1100;Hickory;NC;375363;-0.007320928;-0.210257202;0.211444393;0.233495072;40.61441803;57.55169678
16;1201;Franklin;NC;44861;-0.692810237;0.339254677;1.210898876;1.102650642;44.64302826;58.33516693
17;1202;Sylva;NC;54082;0.692243278;-0.962970018;0.888493061;1.462397218;45.62089539;58.09342957
18;1203;Asheville;NC;398505;-0.424808532;0.2842305;0.217125669;0.229466259;42.52038574;56.15626907
19;1204;Andrews;NC;59681;-0.171723381;0.482045382;0.868419051;0.786633015;45.50078964;57.64410782
20;1301;Bennettsville;SC;71586;0.052154426;0.430973262;0.323464453;0.831479251;37.42469025;57.1179924
21;1302;Florence;SC;548986;-0.205154717;-0.500118613;0.163452804;0.204710245;38.1213913;55.51908493
22;1400;Fayetteville;NC;644101;-0.241048694;-0.297133982;0.139397159;0.206203505;36.95671082;53.59977341
23;1500;Wilmington;NC;361559;-0.381173819;-0.351324201;0.166047171;0.208372757;38.36524582;54.00035858
24;1600;Wilson;NC;216840;0.072611138;0.1546776;0.243355051;0.392911673;37.30062485;56.71709824
25;1701;Raleigh;NC;1412127;-0.277868629;-0.284255892;0.112493411;0.098849706;39.68364334;55.33623886
26;1702;Henderson;NC;62926;-0.566818595;-1.132282376;0.398115695;0.823388278;36.8924675;58.28928757
27;1800;Goldsboro;NC;222553;-0.053919733;0.128341392;0.2394436;0.365612864;40.65790558;58.63270569
28;1900;Jacksonville;NC;536909;0.297890067;0.034484953;0.160087153;0.209288388;39.84046936;56.0173912
29;2000;Virginia Beach;VA;1119468;-0.159729093;0.031916909;0.109007061;0.12349616;40.17351532;56.46303558
30;2100;Washington;NC;124216;0.037394535;0.028772594;0.306108207;0.46394673;39.67906952;57.05491638
31;2200;South Boston;VA;158234;0.012720565;-0.481139541;0.295150042;0.41494897;40.82623672;61.75873184
32;2300;Lynchburg;VA;228616;-0.090383075;0.305801988;0.310185134;0.351568252;42.03665924;60.11373901
33;2400;Richmond;VA;1040192;-0.010657439;0.100834556;0.152711049;0.131435499;40.06872177;57.27345276
34;2500;Newport News;VA;570854;0.064291753;-0.23432216;0.177043989;0.176736072;41.04533768;58.27768707
35;2600;Roanoke Rapids;NC;139055;0.33460471;0.407975107;0.287495703;0.574036956;38.18206406;58.12021637
36;2700;Gulfport;MS;458674;-0.099745937;-0.068631083;0.225943312;0.277556777;42.43461227;56.98619843
37;2800;Laurel;MS;120505;0.127905712;0.136025324;0.440981925;0.94030422;43.093853;62.79650879
38;2900;Hattiesburg;MS;157181;-0.361856878;-0.426299751;0.334634334;0.582457125;41.40069962;59.35977173
39;3001;Kosciusko;MS;41270;-0.447820187;1.206811547;0.608084083;1.255343199;38.54013062;60.83665466
40;3002;Yazoo City;MS;39355;-0.571776628;0.509741783;0.543349624;1.461580992;36.17935181;58.65530777
41;3003;Jackson;MS;546560;-0.325572282;0.236748233;0.180686802;0.324558854;38.18758011;56.59178925
42;3101;McComb;MS;103602;-0.281987071;0.64491868;0.391780674;0.728622437;41.94404602;62.15171432
43;3102;Brookhaven;MS;46424;-0.536125839;-0.066684112;0.580504775;0.936635375;44.03293991;64.92735291
44;3201;Jena;LA;25202;0.051826756;0.133243278;1.026251674;1.81188345;50.91760254;71.7130127
45;3202;Natchez;MS;69653;0.155533656;0.341792226;0.634980083;1.373643994;40.20130157;59.09541702
46;3203;Vicksburg;MS;84943;-0.261404246;0.733293474;0.519866586;0.968119144;36.62123489;55.62322998
47;3300;New Orleans;LA;1381652;-0.391382515;-0.040614594;0.111417122;0.136787966;40.58131027;55.82071304
48;3400;Houma;LA;271365;0.119295344;0.13461712;0.231085867;0.372448504;45.84697723;63.97108841
49;3500;Baton Rouge;LA;806561;-0.366376758;0.127705961;0.143241957;0.194782883;41.29689407;58.78153229
50;3600;Alexandria;LA;186516;-0.481098861;-0.546140611;0.320233881;0.488669187;42.48867798;61.19846725
51;3700;Lake Charles;LA;335960;0.324126303;-0.021340415;0.265800238;0.365717471;45.63534164;59.67551804
52;3800;Lafayette;LA;548154;0.033637036;-0.175426602;0.208713233;0.255419374;44.50418472;60.67823792
53;3901;Monroe;LA;253878;0.341595262;0.648758113;0.258968771;0.517862022;39.43395233;58.56567001
54;3902;Lake Providence;LA;21735;NA;NA;NA;NA;40.76457214;64.77474976
55;4001;Magnolia;AR;34162;-0.152941391;-1.595755458;0.734440207;1.386217117;39.80156326;62.5205307
